Model,Brand,purchase_place,Year_of_manufacture,total_cars,percentage_by_model,percentage_by_place,percentage_of_total,avg_mileage
Nexon,Honda,Basavanagudi,1984,1,0.02,0.02,0.00,269367.00
Harrier,Honda,Hebbal,1984,1,0.02,0.02,0.00,252769.00
Nexon,Honda,Hebbal,1984,1,0.02,0.02,0.00,202401.00
Thar,Honda,Hebbal,1984,2,0.03,0.03,0.00,224163.00
Innova,Honda,"HSR Layout",1984,1,0.02,0.02,0.00,168092.00
City,Honda,Indiranagar,1984,1,0.02,0.02,0.00,240086.00
City,Honda,Jayanagar,1984,1,0.02,0.02,0.00,161287.00
Creta,Honda,Jayanagar,1984,1,0.02,0.02,0.00,132809.00
Harrier,Honda,Jayanagar,1984,1,0.02,0.02,0.00,258807.00
Nexon,Honda,Jayanagar,1984,1,0.02,0.02,0.00,180682.00
Nexon,Honda,Jayanagar,1984,1,0.02,0.02,0.00,218160.00
Creta,Honda,Malleswaram,1984,1,0.02,0.02,0.00,369978.00
Nexon,Honda,Malleswaram,1984,1,0.02,0.02,0.00,179428.00
Creta,Honda,Rajajinagar,1984,1,0.02,0.02,0.00,163042.00
Creta,Honda,Whitefield,1984,1,0.02,0.02,0.00,170747.00
Baleno,Honda,Yelahanka,1984,1,0.02,0.02,0.00,236676.00
City,Honda,Yelahanka,1984,1,0.02,0.02,0.00,347520.00
City,Hyundai,Hebbal,1984,1,0.02,0.02,0.00,175930.00
i20,Hyundai,Hebbal,1984,1,0.02,0.02,0.00,209459.00
i20,Hyundai,Hebbal,1984,1,0.02,0.02,0.00,320274.00
City,Hyundai,Indiranagar,1984,3,0.05,0.05,0.00,89953.00
Creta,Hyundai,Indiranagar,1984,1,0.02,0.02,0.00,279567.00
Creta,Hyundai,Jayanagar,1984,1,0.02,0.02,0.00,242512.00
Creta,Hyundai,Jayanagar,1984,1,0.02,0.02,0.00,384081.00
i20,Hyundai,Jayanagar,1984,1,0.02,0.02,0.00,200499.00
i20,Hyundai,Jayanagar,1984,1,0.02,0.02,0.00,255195.00
Seltos,Hyundai,Jayanagar,1984,1,0.02,0.02,0.00,167887.00
Seltos,Hyundai,Koramangala,1984,1,0.02,0.02,0.00,289232.00
Thar,Hyundai,Koramangala,1984,1,0.02,0.02,0.00,156066.00
Innova,Hyundai,Malleswaram,1984,1,0.02,0.02,0.00,321660.00
Creta,Hyundai,Rajajinagar,1984,3,0.05,0.05,0.00,225099.00
i20,Hyundai,Rajajinagar,1984,1,0.02,0.02,0.00,136547.00
Nexon,Hyundai,Yelahanka,1984,1,0.02,0.02,0.00,268329.00
Swift,Hyundai,Yelahanka,1984,1,0.02,0.02,0.00,396901.00
Creta,Kia,Basavanagudi,1984,1,0.02,0.02,0.00,222934.00
i20,Kia,"HSR Layout",1984,1,0.02,0.02,0.00,349757.00
Nexon,Kia,Indiranagar,1984,1,0.02,0.02,0.00,184822.00
Creta,Kia,Jayanagar,1984,3,0.05,0.05,0.00,238276.00
Innova,Kia,Jayanagar,1984,1,0.02,0.02,0.00,160251.00
Nexon,Kia,Jayanagar,1984,1,0.02,0.02,0.00,301090.00
City,Kia,Koramangala,1984,1,0.02,0.02,0.00,323289.00
Seltos,Kia,Koramangala,1984,1,0.02,0.02,0.00,159520.00
Swift,Kia,Koramangala,1984,1,0.02,0.02,0.00,262201.00
Creta,Kia,Malleswaram,1984,3,0.05,0.05,0.00,183547.00
Harrier,Kia,Malleswaram,1984,3,0.05,0.05,0.00,278075.00
Seltos,Kia,Malleswaram,1984,1,0.02,0.02,0.00,278457.00
Harrier,Kia,Rajajinagar,1984,1,0.02,0.02,0.00,37846.00
i20,Kia,Rajajinagar,1984,1,0.02,0.02,0.00,215601.00
Thar,Kia,Rajajinagar,1984,1,0.02,0.02,0.00,183484.00
Innova,Kia,Whitefield,1984,3,0.05,0.05,0.00,159199.00
Nexon,Kia,Whitefield,1984,1,0.02,0.02,0.00,293824.00
Nexon,Kia,Whitefield,1984,1,0.02,0.02,0.00,274990.00
Creta,Kia,Yelahanka,1984,1,0.02,0.02,0.00,146321.00
Innova,Mahindra,Basavanagudi,1984,1,0.02,0.02,0.00,192700.00
Nexon,Mahindra,Basavanagudi,1984,1,0.02,0.02,0.00,145929.00
Thar,Mahindra,Basavanagudi,1984,1,0.02,0.02,0.00,253544.00
Baleno,Mahindra,Hebbal,1984,1,0.02,0.02,0.00,241419.00
i20,Mahindra,Hebbal,1984,3,0.05,0.05,0.00,288785.00
i20,Mahindra,Hebbal,1984,1,0.02,0.02,0.00,201262.00
Harrier,Mahindra,"HSR Layout",1984,1,0.02,0.02,0.00,169903.00
Seltos,Mahindra,Indiranagar,1984,1,0.02,0.02,0.00,233359.00
Nexon,Mahindra,Jayanagar,1984,1,0.02,0.02,0.00,240036.00
Swift,Mahindra,Jayanagar,1984,3,0.05,0.05,0.00,174967.00
Baleno,Mahindra,Koramangala,1984,3,0.05,0.05,0.00,302861.00
Swift,Mahindra,Koramangala,1984,1,0.02,0.02,0.00,258688.00
Harrier,Mahindra,Malleswaram,1984,1,0.02,0.02,0.00,168120.00
City,Mahindra,Whitefield,1984,1,0.02,0.02,0.00,186041.00
City,Mahindra,Yelahanka,1984,1,0.02,0.02,0.00,101225.00
Thar,Mahindra,Yelahanka,1984,1,0.02,0.02,0.00,202416.00
i20,Maruti,Basavanagudi,1984,1,0.02,0.02,0.00,316261.00
Innova,Maruti,Basavanagudi,1984,1,0.02,0.02,0.00,185926.00
Harrier,Maruti,Hebbal,1984,1,0.02,0.02,0.00,187854.00
Swift,Maruti,Hebbal,1984,1,0.02,0.02,0.00,232335.00
City,Maruti,"HSR Layout",1984,1,0.02,0.02,0.00,244575.00
Innova,Maruti,"HSR Layout",1984,1,0.02,0.02,0.00,204467.00
Seltos,Maruti,"HSR Layout",1984,1,0.02,0.02,0.00,194496.00
Thar,Maruti,"HSR Layout",1984,1,0.02,0.02,0.00,202946.00
Harrier,Maruti,Indiranagar,1984,1,0.02,0.02,0.00,327833.00
Harrier,Maruti,Indiranagar,1984,1,0.02,0.02,0.00,245635.00
Innova,Maruti,Indiranagar,1984,1,0.02,0.02,0.00,19500.00
Creta,Maruti,Jayanagar,1984,1,0.02,0.02,0.00,294633.00
Swift,Maruti,Jayanagar,1984,1,0.02,0.02,0.00,386079.00
City,Maruti,Koramangala,1984,1,0.02,0.02,0.00,257469.00
Baleno,Maruti,Malleswaram,1984,1,0.02,0.02,0.00,260380.00
i20,Maruti,Malleswaram,1984,1,0.02,0.02,0.00,295836.00
i20,Maruti,Malleswaram,1984,3,0.05,0.05,0.00,210619.00
Innova,Maruti,Malleswaram,1984,1,0.02,0.02,0.00,172727.00
Seltos,Maruti,Rajajinagar,1984,1,0.02,0.02,0.00,28835.00
Baleno,Maruti,Whitefield,1984,1,0.02,0.02,0.00,386793.00
City,Maruti,Whitefield,1984,1,0.02,0.02,0.00,66467.00
City,Maruti,Whitefield,1984,1,0.02,0.02,0.00,189307.00
i20,Maruti,Whitefield,1984,1,0.02,0.02,0.00,109924.00
i20,Maruti,Yelahanka,1984,1,0.02,0.02,0.00,192653.00
i20,Tata,Hebbal,1984,3,0.05,0.05,0.00,256228.00
Baleno,Tata,"HSR Layout",1984,1,0.02,0.02,0.00,322154.00
Creta,Tata,"HSR Layout",1984,1,0.02,0.02,0.00,178173.00
i20,Tata,"HSR Layout",1984,1,0.02,0.02,0.00,308437.00
Creta,Tata,Indiranagar,1984,1,0.02,0.02,0.00,259652.00
i20,Tata,Indiranagar,1984,1,0.02,0.02,0.00,264759.00
Innova,Tata,Indiranagar,1984,1,0.02,0.02,0.00,266766.00
Creta,Tata,Jayanagar,1984,3,0.05,0.05,0.00,302522.00
Harrier,Tata,Jayanagar,1984,3,0.05,0.05,0.00,236049.00
Swift,Tata,Koramangala,1984,1,0.02,0.02,0.00,275020.00
Harrier,Tata,Malleswaram,1984,1,0.02,0.02,0.00,152294.00
Nexon,Tata,Malleswaram,1984,1,0.02,0.02,0.00,19500.00
Nexon,Tata,Rajajinagar,1984,1,0.02,0.02,0.00,211960.00
Thar,Tata,Rajajinagar,1984,1,0.02,0.02,0.00,351166.00
Creta,Tata,Whitefield,1984,3,0.05,0.05,0.00,319446.00
i20,Tata,Whitefield,1984,1,0.02,0.02,0.00,218221.00
Innova,Tata,Whitefield,1984,1,0.02,0.02,0.00,180847.00
Nexon,Tata,Whitefield,1984,1,0.02,0.02,0.00,198142.00
Seltos,Tata,Whitefield,1984,1,0.02,0.02,0.00,193656.00
Swift,Tata,Whitefield,1984,1,0.02,0.02,0.00,244174.00
Baleno,Tata,Yelahanka,1984,3,0.05,0.05,0.00,300318.00
Thar,Toyota,Basavanagudi,1984,1,0.02,0.02,0.00,248245.00
City,Toyota,Hebbal,1984,1,0.02,0.02,0.00,204648.00
Harrier,Toyota,Hebbal,1984,1,0.02,0.02,0.00,141920.00
Seltos,Toyota,Hebbal,1984,1,0.02,0.02,0.00,69894.00
Thar,Toyota,Hebbal,1984,1,0.02,0.02,0.00,210874.00
Baleno,Toyota,"HSR Layout",1984,1,0.02,0.02,0.00,171450.00
City,Toyota,"HSR Layout",1984,1,0.02,0.02,0.00,193138.00
i20,Toyota,"HSR Layout",1984,1,0.02,0.02,0.00,173446.00
Swift,Toyota,"HSR Layout",1984,1,0.02,0.02,0.00,248329.00
Harrier,Toyota,Indiranagar,1984,1,0.02,0.02,0.00,316171.00
Harrier,Toyota,Indiranagar,1984,1,0.02,0.02,0.00,236474.00
Thar,Toyota,Indiranagar,1984,1,0.02,0.02,0.00,190472.00
Thar,Toyota,Indiranagar,1984,1,0.02,0.02,0.00,270423.00
City,Toyota,Jayanagar,1984,1,0.02,0.02,0.00,395085.00
Creta,Toyota,Koramangala,1984,1,0.02,0.02,0.00,280596.00
Harrier,Toyota,Koramangala,1984,1,0.02,0.02,0.00,279988.00
Nexon,Toyota,Koramangala,1984,1,0.02,0.02,0.00,287006.00
Swift,Toyota,Koramangala,1984,1,0.02,0.02,0.00,208219.00
Harrier,Toyota,Malleswaram,1984,1,0.02,0.02,0.00,194072.00
Creta,Toyota,Rajajinagar,1984,2,0.03,0.03,0.00,188604.00
i20,Toyota,Rajajinagar,1984,1,0.02,0.02,0.00,408775.00
Innova,Toyota,Rajajinagar,1984,1,0.02,0.02,0.00,204235.00
Nexon,Toyota,Rajajinagar,1984,3,0.05,0.05,0.00,322971.00
Thar,Toyota,Rajajinagar,1984,1,0.02,0.02,0.00,285776.00
City,Toyota,Whitefield,1984,1,0.02,0.02,0.00,371517.00
Swift,Toyota,Whitefield,1984,1,0.02,0.02,0.00,301208.00
Baleno,Toyota,Yelahanka,1984,2,0.03,0.03,0.00,180340.00
Baleno,Toyota,Yelahanka,1984,1,0.02,0.02,0.00,69189.00
i20,Toyota,Yelahanka,1984,1,0.02,0.02,0.00,254125.00
Nexon,Toyota,Yelahanka,1984,3,0.05,0.05,0.00,256568.00
Swift,Toyota,Yelahanka,1984,1,0.02,0.02,0.00,423108.00
Creta,Honda,Basavanagudi,1985,1,0.02,0.02,0.00,237428.00
Creta,Honda,Basavanagudi,1985,1,0.02,0.02,0.00,221960.00
Nexon,Honda,Basavanagudi,1985,1,0.02,0.02,0.00,212748.00
Swift,Honda,Basavanagudi,1985,1,0.02,0.02,0.00,323134.00
Thar,Honda,Basavanagudi,1985,1,0.02,0.02,0.00,132685.00
Harrier,Honda,Hebbal,1985,1,0.02,0.02,0.00,165240.00
Harrier,Honda,Hebbal,1985,3,0.05,0.05,0.00,192186.00
Harrier,Honda,Hebbal,1985,2,0.03,0.03,0.00,167593.00
i20,Honda,Hebbal,1985,1,0.02,0.02,0.00,120980.00
Innova,Honda,Hebbal,1985,1,0.02,0.02,0.00,225318.00
Seltos,Honda,Hebbal,1985,3,0.05,0.05,0.00,80054.00
Creta,Honda,"HSR Layout",1985,1,0.02,0.02,0.00,259921.00
Creta,Honda,"HSR Layout",1985,1,0.02,0.02,0.00,215388.00
i20,Honda,"HSR Layout",1985,1,0.02,0.02,0.00,258843.00
Nexon,Honda,"HSR Layout",1985,1,0.02,0.02,0.00,251733.00
Seltos,Honda,"HSR Layout",1985,1,0.02,0.02,0.00,118918.00
Thar,Honda,"HSR Layout",1985,1,0.02,0.02,0.00,116964.00
Creta,Honda,Indiranagar,1985,1,0.02,0.02,0.00,274762.00
i20,Honda,Indiranagar,1985,2,0.03,0.03,0.00,200986.00
i20,Honda,Indiranagar,1985,3,0.05,0.05,0.00,133333.00
Swift,Honda,Indiranagar,1985,1,0.02,0.02,0.00,249347.00
Baleno,Honda,Jayanagar,1985,1,0.02,0.02,0.00,302086.00
Harrier,Honda,Jayanagar,1985,3,0.05,0.05,0.00,290376.00
Nexon,Honda,Jayanagar,1985,2,0.03,0.03,0.00,212312.00
Nexon,Honda,Jayanagar,1985,1,0.02,0.02,0.00,108360.00
Thar,Honda,Jayanagar,1985,3,0.05,0.05,0.00,121817.00
Creta,Honda,Koramangala,1985,1,0.02,0.02,0.00,217129.00
Harrier,Honda,Koramangala,1985,1,0.02,0.02,0.00,296646.00
